"GW","Date","Home","Home_Win_pct","Draw_pct","Away_Win_pct","Away","Home_xPTS","Home_xG","Home_Goals","Away_Goals","Away_xG","Away_xPTS"
"1",2025-08-08,"Fortuna Sittard",0.6,0.2,0.2,"Go Ahead Eagles",2,2.2,2,2,1.2,0.8
"1",2025-08-09,"NEC Nijmegen",0.699,0.168,0.131,"Excelsior",2.27,2.5,5,0,1,0.56
"1",2025-08-09,"Feyenoord",0.864,0.114,0.021,"NAC Breda",2.71,2.4,2,0,0.2,0.18
"1",2025-08-09,"SC Heerenveen",0.536,0.31,0.154,"FC Volendam",1.92,1.2,1,1,0.5,0.77
"1",2025-08-09,"PSV Eindhoven",0.491,0.239,0.27,"Sparta Rotterdam",1.71,1.7,6,1,1.2,1.05
"1",2025-08-10,"PEC Zwolle",0.295,0.306,0.399,"FC Twente",1.19,0.9,1,0,1.1,1.5
"1",2025-08-10,"Ajax",0.467,0.247,0.286,"Telstar",1.65,1.6,2,0,1.2,1.11
"1",2025-08-10,"AZ Alkmaar",0.378,0.243,0.378,"FC Groningen",1.38,1.5,4,1,1.5,1.38
"1",2025-08-10,"Utrecht",0.687,0.18,0.132,"Heracles Almelo",2.24,2.3,4,0,0.9,0.58
"2",2025-08-15,"Telstar",0.123,0.171,0.705,"PEC Zwolle",0.54,0.9,0,2,2.4,2.29
"2",2025-08-16,"Excelsior",0.158,0.181,0.66,"Feyenoord",0.66,1.1,1,2,2.4,2.16
"2",2025-08-16,"Heracles Almelo",0.136,0.147,0.714,"NEC Nijmegen",0.55,1.3,1,4,3,2.29
"2",2025-08-16,"FC Groningen",0.131,0.194,0.674,"SC Heerenveen",0.59,0.8,2,1,2.1,2.22
"2",2025-08-17,"Go Ahead Eagles",0.15,0.235,0.614,"Ajax",0.69,0.7,2,2,1.7,2.08
"2",2025-08-17,"FC Twente",0.198,0.24,0.563,"PSV Eindhoven",0.83,0.9,0,2,1.7,1.93
"2",2025-08-17,"Sparta Rotterdam",0.399,0.247,0.354,"Utrecht",1.44,1.5,2,1,1.4,1.31
"2",2025-08-17,"FC Volendam",0.132,0.274,0.594,"AZ Alkmaar",0.67,0.5,2,2,1.4,2.06
"2",2025-08-17,"NAC Breda",0.679,0.2,0.121,"Fortuna Sittard",2.24,2,2,1,0.7,0.56
"3",2025-08-23,"Go Ahead Eagles",0.571,0.183,0.245,"Sparta Rotterdam",1.9,2.6,0,3,1.7,0.92
"3",2025-08-23,"PSV Eindhoven",0.617,0.188,0.195,"FC Groningen",2.04,2.4,4,2,1.3,0.77
"3",2025-08-23,"Telstar",0.719,0.206,0.075,"FC Volendam",2.36,1.8,2,2,0.4,0.43
"3",2025-08-24,"SC Heerenveen",0.495,0.199,0.306,"FC Twente",1.68,2.3,1,2,1.8,1.12
"3",2025-08-24,"NEC Nijmegen",0.917,0.041,0.014,"NAC Breda",2.79,4.2,3,0,0.5,0.08
"3",2025-08-24,"Utrecht",0.492,0.231,0.277,"Excelsior",1.71,1.8,4,1,1.3,1.06
"3",2025-08-24,"Ajax",0.885,0.097,0.017,"Heracles Almelo",2.75,2.6,2,0,0.2,0.15
"3",2025-09-17,"Feyenoord",0.8,0.158,0.042,"Fortuna Sittard",2.56,2.1,2,0,0.3,0.28
"3",2025-09-24,"AZ Alkmaar",0.705,0.171,0.123,"PEC Zwolle",2.29,2.4,2,2,0.9,0.54
"4",2025-08-29,"FC Groningen",0.691,0.213,0.096,"Heracles Almelo",2.29,1.8,4,0,0.5,0.5
"4",2025-08-30,"FC Volendam",0.214,0.274,0.511,"Ajax",0.92,0.8,1,1,1.4,1.81
"4",2025-08-30,"SC Heerenveen",0.689,0.162,0.146,"Go Ahead Eagles",2.23,2.7,2,2,1.2,0.6
"4",2025-08-30,"PSV Eindhoven",0.426,0.233,0.341,"Telstar",1.51,1.7,0,2,1.5,1.26
"4",2025-08-30,"Excelsior",0.046,0.135,0.819,"FC Twente",0.27,0.4,1,0,2.4,2.59
"4",2025-08-31,"Fortuna Sittard",0.3,0.229,0.47,"NEC Nijmegen",1.13,1.4,3,2,1.8,1.64
"4",2025-08-31,"Sparta Rotterdam",0.074,0.152,0.773,"Feyenoord",0.37,0.6,0,4,2.4,2.47
"4",2025-08-31,"PEC Zwolle",0.325,0.299,0.376,"Utrecht",1.27,1,0,2,1.1,1.43
"4",2025-08-31,"NAC Breda",0.255,0.176,0.567,"AZ Alkmaar",0.94,1.9,0,1,2.8,1.88
"5",2025-09-13,"Ajax",0.822,0.126,0.051,"PEC Zwolle",2.59,2.6,3,1,0.5,0.28
"5",2025-09-13,"NEC Nijmegen",0.286,0.181,0.531,"PSV Eindhoven",1.04,2,3,5,2.7,1.77
"5",2025-09-13,"Go Ahead Eagles",0.558,0.209,0.233,"FC Volendam",1.88,2.1,3,0,1.3,0.91
"5",2025-09-13,"FC Twente",0.705,0.194,0.101,"NAC Breda",2.31,2,2,2,0.6,0.5
"5",2025-09-13,"Feyenoord",0.276,0.295,0.429,"SC Heerenveen",1.12,0.9,1,0,1.2,1.58
"5",2025-09-14,"Excelsior",0.359,0.238,0.403,"Sparta Rotterdam",1.32,1.5,0,1,1.6,1.45
"5",2025-09-14,"Heracles Almelo",0.053,0.105,0.838,"AZ Alkmaar",0.26,0.7,1,2,3.1,2.62
"5",2025-09-14,"Utrecht",0.27,0.239,0.491,"FC Groningen",1.05,1.2,0,1,1.7,1.71
"5",2025-09-14,"Telstar",0.514,0.24,0.246,"Fortuna Sittard",1.78,1.7,1,3,1.1,0.98
"6",2025-09-19,"Sparta Rotterdam",0.148,0.173,0.678,"FC Twente",0.62,1.1,1,5,2.5,2.21
"6",2025-09-20,"FC Volendam",0.3,0.229,0.47,"Excelsior",1.13,1.4,1,2,1.8,1.64
"6",2025-09-20,"FC Groningen",0.588,0.238,0.174,"Telstar",2,1.7,2,0,0.8,0.76
"6",2025-09-20,"Fortuna Sittard",0.406,0.289,0.305,"Utrecht",1.51,1.2,1,0,1,1.2
"6",2025-09-20,"NAC Breda",0.642,0.189,0.169,"Heracles Almelo",2.11,2.3,2,1,1.1,0.69
"6",2025-09-21,"PEC Zwolle",0.076,0.175,0.749,"Go Ahead Eagles",0.4,0.5,0,2,2.1,2.42
"6",2025-09-21,"SC Heerenveen",0.785,0.133,0.08,"NEC Nijmegen",2.49,2.8,3,2,0.8,0.37
"6",2025-09-21,"PSV Eindhoven",0.555,0.158,0.278,"Ajax",1.82,3.4,2,2,2.5,0.99
"6",2025-09-21,"AZ Alkmaar",0.217,0.223,0.56,"Feyenoord",0.87,1.1,3,3,1.9,1.9
"7",2025-09-26,"FC Twente",0.855,0.102,0.04,"Fortuna Sittard",2.67,2.9,3,2,0.5,0.22
"7",2025-09-27,"Ajax",0.473,0.215,0.312,"NAC Breda",1.63,2,2,1,1.6,1.15
"7",2025-09-27,"FC Volendam",0.605,0.212,0.183,"PEC Zwolle",2.03,2,2,1,1,0.76
"7",2025-09-27,"Excelsior",0.294,0.174,0.529,"PSV Eindhoven",1.05,2.2,1,2,2.9,1.76
"7",2025-09-27,"Heracles Almelo",0.329,0.251,0.42,"Sparta Rotterdam",1.24,1.3,3,0,1.5,1.51
"7",2025-09-28,"NEC Nijmegen",0.719,0.206,0.075,"AZ Alkmaar",2.36,1.8,2,1,0.4,0.43
"7",2025-09-28,"FC Groningen",0.325,0.299,0.376,"Feyenoord",1.27,1,0,1,1.1,1.43
"7",2025-09-28,"Utrecht",0.515,0.224,0.262,"SC Heerenveen",1.77,1.9,2,2,1.3,1.01
"7",2025-09-28,"Telstar",0.387,0.19,0.422,"Go Ahead Eagles",1.35,2.3,4,2,2.4,1.46
"8",2025-10-03,"NAC Breda",0.174,0.261,0.565,"FC Groningen",0.78,0.7,1,2,1.5,1.96
"8",2025-10-04,"Sparta Rotterdam",0.494,0.21,0.296,"Ajax",1.69,2.1,3,3,1.6,1.1
"8",2025-10-04,"Fortuna Sittard",0.538,0.262,0.2,"FC Volendam",1.88,1.5,1,0,0.8,0.86
"8",2025-10-04,"PEC Zwolle",0.013,0.135,0.851,"PSV Eindhoven",0.17,0.1,0,4,2.1,2.69
"8",2025-10-04,"SC Heerenveen",0.515,0.217,0.269,"Excelsior",1.76,2,2,1,1.4,1.02
"8",2025-10-05,"FC Twente",0.537,0.291,0.172,"Heracles Almelo",1.9,1.3,2,1,0.6,0.81
"8",2025-10-05,"Feyenoord",0.88,0.083,0.031,"Utrecht",2.72,3.2,3,2,0.5,0.18
"8",2025-10-05,"AZ Alkmaar",0.845,0.085,0.054,"Telstar",2.62,3.8,2,1,1,0.25
"8",2025-10-05,"Go Ahead Eagles",0.268,0.351,0.382,"NEC Nijmegen",1.15,0.7,1,1,0.9,1.5
